data	iloœæ wody dop³yw	suma w zbiorniku po pó³nocy	po odlaniu 	suma w zbiorniku o 8.00	z1	z2	z3									
01.01.2008	2275	500 000	500000	490000		188	490000									
02.01.2008	2831	492275	492275	482429			482430									
03.01.2008	4615	485260	485260	475554			475555									
04.01.2008	4084	480169	480169	470565			470566									odp1
05.01.2008	3258	474649	474649	465156			465157									19.04.2015
06.01.2008	3532	468414	468414	459045			459046									odp 2
07.01.2008	2757	462577	462577	453325			453326									188
08.01.2008	4708	456082	456082	446960			446961									odp3
09.01.2008	2044	451668	451668	442634			442635									1399291
10.01.2008	3512	444678	444678	435784			435785									
11.01.2008	3473	439296	439296	430510			430511									
12.01.2008	3814	433983	433983	425303			425304									
13.01.2008	2034	429117	429117	420534			420535									
14.01.2008	1788	422568	422568	414116			414117									
15.01.2008	4084	415904	415904	407585			407586									
16.01.2008	2604	411669	411669	403435			403436									
17.01.2008	3437	406039	406039	397918			397919									
18.01.2008	3846	401355	401355	393327			393328									
19.01.2008	2051	397173	397173	389229			389230									
20.01.2008	1600	391280	391280	383454			383455									
21.01.2008	1963	385054	385054	377352			377353									
22.01.2008	4055	379315	379315	371728			371729									
23.01.2008	3842	375783	375783	368267			368268									
24.01.2008	1422	372109	372109	364666			364667									
25.01.2008	2982	366088	366088	358766			358767									
26.01.2008	3468	361748	361748	354513			354514									
27.01.2008	2106	357981	357981	350821			350822									
28.01.2008	3599	352927	352927	345868			345869									
29.01.2008	2200	349467	349467	342477			342478									
30.01.2008	3499	344677	344677	337783			337784									
31.01.2008	3950	341282	341282	334456			334457									
01.02.2008	3063	338406	338406	331637			331638									
02.02.2008	2020	334700	334700	328006			328006									
03.02.2008	3885	330026	330026	323425			323426									
04.02.2008	5134	327310	327310	320763			320764									
05.02.2008	3156	325897	325897	319379			319380									
06.02.2008	2385	322535	322535	316084			316085									
07.02.2008	3298	318469	318469	312099			312100									
08.02.2008	4144	315397	315397	309089			309090									
09.02.2008	2726	313233	313233	306968			306969									
10.02.2008	3234	309694	309694	303500			303501									
11.02.2008	3160	306734	306734	300599			300600									
12.02.2008	3161	303759	303759	297683			297684									
13.02.2008	3787	300844	300844	294827			294828									
14.02.2008	3855	298614	298614	292641			292642									
15.02.2008	1905	296496	296496	290566			290567									
16.02.2008	3263	292471	292471	286621			286622									
17.02.2008	4039	289884	289884	284086			284087									
18.02.2008	2788	288125	288125	282362			282363									
19.02.2008	1817	285150	285150	279447			279447									
20.02.2008	4516	281264	281264	275638			275639									
21.02.2008	2631	280154	280154	274550			274551									
22.02.2008	3256	277181	277181	271637			271638									
23.02.2008	3921	274893	274893	269395			269396									
24.02.2008	3784	273316	273316	267849			267850									
25.02.2008	2367	271633	271633	266200			266201									
26.02.2008	2179	268567	268567	263195			263196									
27.02.2008	4459	265374	265374	260066			260067									
28.02.2008	3324	264525	264525	259234			259235									
29.02.2008	3473	262558	262558	257306			257307									
01.03.2008	1704	260779	260779	255563			255564									
02.03.2008	2192	257267	257267	252121			252122									
03.03.2008	2072	254313	254313	249226			249227									
04.03.2008	2596	251298	251298	246272			246273									
05.03.2008	3530	248868	248868	243890			243891									
06.03.2008	3216	247420	247420	242471			242472									
07.03.2008	2911	245687	245687	240773			240774									
08.03.2008	2307	243684	243684	238810			238811									
09.03.2008	2363	241117	241117	236294			236295									
10.03.2008	3432	238657	238657	233883			233884									
11.03.2008	3284	237315	237315	232568			232569									
12.03.2008	2402	235852	235852	231134			231135									
13.03.2008	4850	233536	233536	228865			228866									
14.03.2008	2733	233715	233715	229040			229041									
15.03.2008	2105	231773	231773	227137			227138									
16.03.2008	3186	229242	229242	224657			224658									
17.03.2008	3225	227843	227843	223286			223287									
18.03.2008	5318	226511	226511	221980			221981									
19.03.2008	3716	227298	227298	222752			222753									
20.03.2008	3948	226468	226468	221938			221939									
21.03.2008	3883	225886	225886	221368			221369									
22.03.2008	5544	225251	225251	220745			220746									
23.03.2008	3656	226289	226289	221763			221764									
24.03.2008	3510	225419	225419	220910			220911									
25.03.2008	4042	224420	224420	219931			219932									
26.03.2008	3832	223973	223973	219493			219494									
27.03.2008	4069	223325	223325	218858			218859									
28.03.2008	4194	222927	222927	218468			218469									
29.03.2008	5308	222662	222662	218208			218209									
30.03.2008	4318	223516	223516	219045			219046									
31.03.2008	5993	223363	223363	218895			218896									
01.04.2008	6300	224888	224888	220390			220391									
02.04.2008	7789	226690	226690	222156			222157									
03.04.2008	7631	229945	229945	225346			225347									
04.04.2008	9081	232977	232977	228317			228318									
05.04.2008	8938	237398	237398	232650			232651									
06.04.2008	10550	241588	241588	236756			236757									
07.04.2008	12184	247306	247306	242359			242360									
08.04.2008	13390	254543	254543	249452			249453									
09.04.2008	14196	262842	262842	257585			257586									
10.04.2008	14830	271781	271781	266345			266346									
11.04.2008	16437	281175	281175	275551			275552									
12.04.2008	17871	291988	291988	286148			286149									
13.04.2008	20057	304019	304019	297938			297939									
14.04.2008	21238	317995	317995	311635			311636									
15.04.2008	23911	332873	332873	326215			326216									
16.04.2008	25239	350126	350126	343123			343124									
17.04.2008	26830	368362	368362	360994			360995									
18.04.2008	27277	387824	387824	380067			380068									
19.04.2008	26786	407344	407344	399197			399198									
20.04.2008	29132	425983	425983	417463			417464									
21.04.2008	28710	446595	446595	437663			437664									
22.04.2008	30263	466373	466373	457045			457046									
23.04.2008	30420	487308	487308	477561			477562									
24.04.2008	30396	507981	507981	497821			497822									
25.04.2008	29098	528217	528217	517652			517653									
26.04.2008	31026	546750	546750	535815			535815									
27.04.2008	29937	566841	566841	555504			555505									
28.04.2008	28518	585441	585441	573732			573733									
29.04.2008	28152	602250	602250	590205			590205									
30.04.2008	26744	618357	618357	605989			605990									
01.05.2008	27527	632733	632733	620078			620079									
02.05.2008	25742	647605	647605	634652			634653									
03.05.2008	23851	660394	660394	647186			647187									
04.05.2008	21232	671037	671037	657616			657617									
05.05.2008	21260	678848	678848	665271			665272									
06.05.2008	19203	686531	686531	672800			672801									
07.05.2008	17262	692003	692003	678162			678163									
08.05.2008	16255	695424	695424	681515			681516									
09.05.2008	16295	697770	697770	683814			683815									
10.05.2008	13666	700109	700109	686106			686107									
11.05.2008	13298	699772	699772	685776			685777									
12.05.2008	11610	699074	699074	685092			685093									
13.05.2008	10287	696702	696702	682767			682768									
14.05.2008	9873	693054	693054	679192			679193									
15.05.2008	7611	689065	689065	675283			675284									
16.05.2008	8243	682894	682894	669236			669237									
17.05.2008	7156	677479	677479	663929			663930									
18.05.2008	6461	671085	671085	657663			657664									
19.05.2008	6376	664124	664124	650841			650842									
20.05.2008	4883	657217	657217	644072			644073									
21.05.2008	5076	648955	648955	635975			635976									
22.05.2008	4742	641051	641051	628229			628230									
23.05.2008	4063	632971	632971	620311			620312									
24.05.2008	3645	624374	624374	611886			611887									
25.05.2008	4139	615531	615531	603220			603221									
26.05.2008	3821	607359	607359	595211			595212									
27.05.2008	2293	599032	599032	587051			587052									
28.05.2008	4356	589344	589344	577557			577558									
29.05.2008	2975	581913	581913	570274			570275									
30.05.2008	2484	573249	573249	561784			561785									
31.05.2008	3518	564268	564268	552982			552983									
01.06.2008	1849	556500	556500	545370			545370									
02.06.2008	2424	547219	547219	536274			536275									
03.06.2008	2862	538698	538698	527924			527925									
04.06.2008	3111	530786	530786	520170			520171									
05.06.2008	2633	523281	523281	512815			512816									
06.06.2008	3117	515448	515448	505139			505140									
07.06.2008	3596	508256	508256	498090			498091									
08.06.2008	3165	501686	501686	491652			491653									
09.06.2008	2018	494817	494817	484920			484921									
10.06.2008	3055	486938	486938	477199			477200									
11.06.2008	3195	480254	480254	470648			470649									
12.06.2008	3518	473843	473843	464366			464367									
13.06.2008	2292	467884	467884	458526			458527									
14.06.2008	3760	460818	460818	451601			451602									
15.06.2008	3887	455361	455361	446253			446254									
16.06.2008	3629	450140	450140	441137			441138									
17.06.2008	3699	444766	444766	435870			435871									
18.06.2008	2167	439569	439569	430777			430778									
19.06.2008	4199	432944	432944	424285			424286									
20.06.2008	2998	428484	428484	419914			419915									
21.06.2008	3406	422912	422912	414453			414454									
22.06.2008	2327	417859	417859	409501			409502									
23.06.2008	1666	411828	411828	403591			403592									
24.06.2008	1757	405257	405257	397151			397152									
25.06.2008	2109	398908	398908	390929			390930									
26.06.2008	2146	393038	393038	385177			385178									
27.06.2008	2956	387323	387323	379576			379577									
28.06.2008	2694	382532	382532	374881			374882									
29.06.2008	2581	377575	377575	370023			370024									
30.06.2008	2812	372604	372604	365151			365152									
01.07.2008	2022	367963	367963	360603			360604									
02.07.2008	3115	362625	362625	355372			355373									
03.07.2008	2003	358487	358487	351317			351318									
04.07.2008	2772	353320	353320	346253			346254									
05.07.2008	3900	349025	349025	342044			342045									
06.07.2008	3165	345944	345944	339025			339026									
07.07.2008	2857	342190	342190	335346			335347									
08.07.2008	3960	338203	338203	331438			331439									
09.07.2008	3338	335398	335398	328690			328691									
10.07.2008	2183	332028	332028	325387			325388									
11.07.2008	2375	327570	327570	321018			321019									
12.07.2008	3214	323393	323393	316925			316926									
13.07.2008	2312	320139	320139	313736			313737									
14.07.2008	3045	316048	316048	309727			309728									
15.07.2008	3325	312772	312772	306516			306517									
16.07.2008	2352	309841	309841	303644			303645									
17.07.2008	2177	305996	305996	299876			299877									
18.07.2008	3473	302053	302053	296011			296012									
19.07.2008	2626	299484	299484	293494			293495									
20.07.2008	3427	296120	296120	290197			290198									
21.07.2008	3037	293624	293624	287751			287752									
22.07.2008	2765	290788	290788	284972			284973									
23.07.2008	3553	287737	287737	281982			281983									
24.07.2008	3896	285535	285535	279824			279825									
25.07.2008	5346	283720	283720	278045			278046									
26.07.2008	7038	283391	283391	277723			277724									
27.07.2008	9717	284761	284761	279065			279066									
28.07.2008	14676	288782	288782	283006			283007									
29.07.2008	18791	297682	297682	291728			291729									
30.07.2008	19796	310519	310519	304308			304309									
31.07.2008	20341	324104	324104	317621			317622									
01.08.2008	17345	337962	337962	331202			331203									
02.08.2008	15034	348547	348547	341576			341577									
03.08.2008	10401	356610	356610	349477			349478									
04.08.2008	6407	359878	359878	352680			352681									
05.08.2008	4665	359087	359087	351905			351906									
06.08.2008	4499	356570	356570	349438			349439									
07.08.2008	3230	353937	353937	346858			346859									
08.08.2008	2617	350088	350088	343086			343087									
09.08.2008	3308	345703	345703	338788			338789									
10.08.2008	3662	342096	342096	335254			335255									
11.08.2008	4424	338916	338916	332137			332138									
12.08.2008	3663	336561	336561	329829			329830									
13.08.2008	3649	333492	333492	326822			326823									
14.08.2008	3194	330471	330471	323861			323862									
15.08.2008	3665	327055	327055	320513			320514									
16.08.2008	3026	324178	324178	317694			317695									
17.08.2008	3911	320720	320720	314305			314306									
